,PowTotAct_Min,Inj1PosVolAct_Var,Inj1PrsAct_meanOfInjPhase,Inj1HopTmpAct_1stPCscore,Inj1HtgEd3Act_1stPCscore,ClpFceAct_1stPCscore,ClpPosAct_1stPCscore,OilTmp1Act_1stPCscore,mass
PowTotAct_Min,1.0,-0.01331235445035177,-0.039603117267996396,0.06504435545307324,-0.11671341324494708,-0.16766190889542415,-0.10756172992969101,0.22024749916714456,0.07138922971789394
Inj1PosVolAct_Var,-0.01331235445035177,1.0,0.9251846647914407,-0.04121445221095208,0.7327912714316019,-0.5889683064069157,0.20605603559182056,-0.36280703472126835,0.8947015284378784
Inj1PrsAct_meanOfInjPhase,-0.039603117267996396,0.9251846647914407,1.0,-0.03980399237195758,0.8250701263745992,-0.537177408914746,0.23638395277218638,-0.44051410689145787,0.8999173103533402
Inj1HopTmpAct_1stPCscore,0.06504435545307324,-0.04121445221095208,-0.03980399237195758,1.0,-0.08880360417958866,-0.15794306784937057,0.11802374849087088,0.21837066375093417,0.05860640886981287
Inj1HtgEd3Act_1stPCscore,-0.11671341324494708,0.7327912714316019,0.8250701263745992,-0.08880360417958866,1.0,-0.05022835859429881,0.3545039631442273,-0.721940998009726,0.6089043225853807
ClpFceAct_1stPCscore,-0.16766190889542415,-0.5889683064069157,-0.537177408914746,-0.15794306784937057,-0.05022835859429881,1.0,-0.004613818059479781,-0.4408085341526924,-0.8039755356558738
ClpPosAct_1stPCscore,-0.10756172992969101,0.20605603559182056,0.23638395277218638,0.11802374849087088,0.3545039631442273,-0.004613818059479781,1.0,-0.2853222900263539,0.15906910726282872
OilTmp1Act_1stPCscore,0.22024749916714456,-0.36280703472126835,-0.44051410689145787,0.21837066375093417,-0.721940998009726,-0.4408085341526924,-0.2853222900263539,1.0,-0.046517440155285555
mass,0.07138922971789394,0.8947015284378784,0.8999173103533402,0.05860640886981287,0.6089043225853807,-0.8039755356558738,0.15906910726282872,-0.046517440155285555,1.0
